19
0.6612137767706363
[0.80043125, 0.800235, 0.5257173162668989, 0.6575620572160661, 
0.80034, 0.800035, 0.5285966334898181, 0.6560050524753593, 
0.8005325, 0.800375, 0.5300516736083241, 0.6589523364935077, 
0.80058, 0.8004, 0.5303834314426716, 0.6591630517110789, 
0.80068375, 0.800465, 0.5305981476896181, 0.6596903923230011, 
0.80067, 0.800425, 0.5309805985898881, 0.6593749916154139, 
0.8006925, 0.800635, 0.5311047182509135, 0.6610583487169126, 
0.80069375, 0.8006, 0.5311218907795572, 0.6607771596103958, 
0.80071625, 0.80065, 0.5312905007094009, 0.6611738587730489, 
0.80059375, 0.800655, 0.5311624107178672, 0.6612137767706363]
